GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
se333-demo,com.se333,StringUtils,0,81,0,14,0,13,0,12,0,5
se333-demo,com.se333,Calculator,0,52,0,8,0,12,0,11,0,7
